name,map_x,map_y,stadium_id,stadium_x,stadium_y,stadium_z
NEW BARK TOWN,140,100,1,342,94,1311
ROUTE 29,128,100,2,68,0,1384
CHERRYGROVE CITY,100,100,3,-176,104,1430
ROUTE 30,100,80,4,-418,0,806
ROUTE 31,96,60,5,-679,0,313
VIOLET CITY,84,60,6,-871,86,291
SPROUT TOWER,85,58,7,-788,259,122
ROUTE 32,84,92,8,-649,0,963
RUINS OF ALPH,76,76,9,-1019,48,558
UNION CAVE,84,124,10,-749,200,1865
ROUTE 33,82,124,11,-700,0,2061
AZALEA TOWN,68,124,12,-929,93,2263
SLOWPOKE WELL,70,122,13,-873,48,2138
ILEX FOREST,52,120,14,-1145,136,1830
ROUTE 34,52,112,15,-1123,0,1321
GOLDENROD CITY,52,92,16,-1038,100,1210
RADIO TOWER,50,92,17,-1039,349,1046
ROUTE 35,52,76,18,-1311,0,610
NATIONAL PARK,52,60,19,-1311,0,260
ROUTE 36,64,60,20,-1078,0,247
ROUTE 37,68,52,21,-1105,0,-86
ECRUTEAK CITY,68,44,22,-1248,112,-306
TIN TOWER,70,42,23,-1231,375,-471
BURNED TOWER,66,42,24,-1403,90,-448
ROUTE 38,52,44,25,-1468,0,-346
ROUTE 39,36,48,26,-1631,0,320
OLIVINE CITY,36,60,27,-1610,86,877
LIGHTHOUSE,38,62,28,-1403,160,943
ROUTE 40,28,64,29,-1863,-70,935
WHIRL ISLANDS,28,92,30,-1759,0,1221
ROUTE 41,28,100,31,-1543,-70,1463
CIANWOOD CITY,20,100,32,-1752,0,1530
ROUTE 42,92,44,33,-559,0,-467
MT. MORTAR,84,44,34,-959,260,-720
MAHOGANY TOWN,108,44,35,-382,169,-116
ROUTE 43,108,36,36,-433,4,-610
LAKE OF RAGE,108,28,37,-623,-45,-1108
ROUTE 44,120,44,38,-130,90,-310
ICE PATH,130,38,39,-201,267,-590
BLACKTHORN CITY,132,44,40,50,120,-620
DRAGON'S DEN,132,36,41,-50,220,-890
ROUTE 45,132,64,42,-42,0,-120
DARK CAVE,112,72,43,-262,90,361
ROUTE 46,124,88,44,-120,0,772
SILVER CAVE,148,68,45,512,60,180
