name,map_x,map_y,stadium_id,stadium_x,stadium_y,stadium_z
PALLET TOWN,52,108,35,-741,80,1207
ROUTE 1,52,92,36,-695,0,930
VIRIDIAN CITY,52,76,37,-642,74,663
ROUTE 2,52,64,38,-465,0,254
PEWTER CITY,52,52,39,-389,50,-180
ROUTE 3,64,52,40,-283,0,-439
MT. MOON,76,52,41,-80,200,-830
ROUTE 4,88,52,42,228,0,-573
CERULEAN CITY,100,52,43,299,85,-348
ROUTE 24,100,44,44,469,0,-620
ROUTE 25,108,36,45,579,0,-1020
ROUTE 5,100,60,46,293,0,-160
UNDERGROUND,108,76,47,432,40,408
ROUTE 6,100,76,48,322,0,408
VERMILION CITY,100,84,1,275,40,644
DIGLETT'S CAVE,88,60,2,-383,50,155
ROUTE 7,88,68,3,80,0,194
ROUTE 8,116,68,4,654,0,241
ROUTE 9,116,52,5,567,1,-390
ROCK TUNNEL,132,52,6,890,248,-620
ROUTE 10,132,56,7,1055,0,-247
POWER PLANT,132,60,8,1300,120,-354
LAVENDER TOWN,132,68,9,908,48,39
LAV RADIO TOWER,140,68,10,997,260,59
CELADON CITY,76,68,11,-120,130,150
SAFFRON CITY,100,68,12,320,170,190
ROUTE 11,116,84,13,682,140,660
ROUTE 12,132,80,14,1125,0,430
ROUTE 13,124,100,15,1015,0,970
ROUTE 14,116,112,16,704,0,1204
ROUTE 15,104,116,17,477,0,1569
ROUTE 16,68,68,18,-300,0,370
ROUTE 17,68,92,19,-394,0,916
ROUTE 18,80,116,20,-242,100,1438
FUCHSIA CITY,92,116,21,130,60,1571
ROUTE 19,92,128,22,61,-70,1852
ROUTE 20,76,132,23,-39,-70,1922
SEAFOAM ISLANDS,68,132,24,-179,-34,1871
CINNABAR ISLAND,52,132,25,-530,91,1849
ROUTE 21,52,120,26,-700,-70,1640
ROUTE 22,36,68,27,-818,0,248
VICTORY ROAD,28,52,28,-900,0,-324
ROUTE 23,28,44,29,-853,78,-1248
INDIGO PLATEAU,28,36,30,-901,400,-1410
ROUTE 26,28,92,31,-1032,0,310
ROUTE 27,20,100,32,-972,0,600
TOHJO FALLS,12,100,33,-1244,120,544
ROUTE 28,20,68,34,-1336,0,-11
